0037p1_2_2 	 [65] 	 [63]	 49	 54	 75	 75
0059p1_3_2 	 64 	 59	 38	 43	 80	 85
0059p1_3_2 	 64 	 59	 38	 43	 80	 85
0026t1_2_1 	 60 	 56	 27	 45	 85	 75
0029p1_3_1 	 60 	 211	 332	 35	 90	 85
0029p1_3_1 	 60 	 61	 32	 35	 90	 85
0029p1_3_1 	 63 	 61	 32	 42	 90	 85
0029p1_3_1 	 60 	 66	 42	 35	 90	 85
0016p1_2_1 	 61 	 64	 48	 45	 81	 77
0016p1_2_1 	 61 	 64	 48	 45	 81	 77
0234u1_3_1_1 	 92 	 60	 60	 90	 70	 100
0001p1_3_1_2 	 62 	 98	 83	 45	 114	 80
0036p1_1_1 	 63 	 62	 40	 40	 85	 87
0075p1_2_2 	 67 	 65	 50	 50	 80	 85
0011p1_1_2_2 	 66 	 78	 40	 47	 117	 85
0025p1_4_1 	 71 	 59	 38	 55	 80	 88
0062u1_1_1_2 	 63 	 62	 50	 52	 75	 75
0109u1_2_2_2 	 60 	 62	 53	 50	 71	 71
0022p1_3_2 	 61 	 63	 51	 46	 76	 76
0004p1_4_1 	 64 	 61	 40	 40	 82	 88
0174u1_4_2 	 37 	 61	 50	 26	 72	 49
0006s1_3_1_1 	 65 	 66	 58	 56	 74	 74
0008p1_3_1_2 	 64 	 62	 40	 35	 85	 94
0027t1_1_2_2 	 62 	 62	 50	 50	 74	 74
0019t1_3_1_2 	 62 	 60	 50	 48	 70	 77
0109u1_3_2 	 64 	 58	 58	 56	 67	 67
0022p1_1_2 	 60 	 63	 54	 44	 72	 77
0109u1_1_1_2 	 58 	 61	 50	 46	 72	 70
0130u1_2_2 	 38 	 61	 55	 31	 67	 45
0021t1_1_1 	 61 	 62	 53	 53	 72	 69
0076u1_2_2 	 64 	 62	 52	 49	 73	 80
0109u1_2_2_2 	 60 	 62	 53	 50	 71	 71
0022p1_3_2 	 61 	 62	 51	 46	 74	 76
0004p1_4_1 	 65 	 60	 40	 40	 80	 90
0174u1_4_2 	 36 	 61	 50	 24	 72	 49
0019t1_3_1_2 	 63 	 62	 55	 53	 69	 74
0109u1_3_2 	 61 	 62	 53	 51	 72	 72
0022p1_1_2 	 58 	 61	 50	 44	 72	 72
0076u1_2_2 	 64 	 60	 52	 49	 69	 80
0037p1_2_2 	 64 	 62	 49	 54	 75	 75
0036p1_3_1 	 60 	 65	 40	 40	 90	 80
0109u1_3_2 	 64 	 64	 57	 56	 72	 72
0197u1_2_2 	 52 	 35	 25	 40	 45	 64
0025p1_2_1 	 73 	 81	 63	 50	 100	 96
0088b1_3_1_1 	 66 	 71	 50	 43	 93	 90
0029p1_3_1 	 63 	 65	 57	 56	 73	 70
0088b1_3_1_1 	 66 	 71	 50	 43	 93	 90
0029p1_3_1 	 61 	 65	 40	 35	 90	 87
0050t1_1_1 	 62 	 64	 55	 55	 73	 70
0061p1_4_2 	 62 	 60	 45	 45	 75	 80
0016p1_4_1 	 63 	 77	 60	 45	 95	 82
0197u1_2_2 	 52 	 35	 26	 40	 45	 64
0025p1_2_1 	 73 	 92	 65	 50	 120	 96
0025p1_2_1 	 73 	 90	 65	 50	 115	 96
0025p1_2_1 	 73 	 87	 65	 50	 110	 96
0025p1_2_1 	 73 	 87	 65	 50	 110	 96
0025p1_2_1 	 73 	 87	 65	 50	 110	 96
0213u1_1_2_2 	 72 	 85	 85	 60	 102	 73
0213u1_1_2_2 	 72 	 92	 80	 55	 105	 90
0154u1_1_2 	 62 	 65	 50	 50	 80	 75
0045t1_2_1 	 60 	 60	 30	 30	 90	 90
0072u1_1_1_2 	 60 	 58	 55	 55	 63	 65
0213u1_1_2_2 	 70 	 92	 80	 55	 105	 85
0154u1_1_2 	 62 	 65	 50	 55	 80	 70
0045t1_2_1 	 60 	 62	 34	 30	 90	 90
0072u1_1_1_2 	 60 	 58	 55	 55	 63	 65
0061u1_2_1_2 	 61 	 62	 51	 50	 73	 73
0004p1_2_1 	 70 	 67	 55	 60	 80	 80
0061u1_1_2_2 	 71 	 87	 77	 55	 97	 87
0008p1_2_1_1 	 56 	 61	 33	 33	 90	 80
0213u1_2_1_2 	 77 	 39	 32	 70	 47	 85
0154u1_3_2 	 60 	 60	 50	 50	 71	 71
0104u1_4_2_2 	 30 	 74	 53	 10	 95	 50
0213u1_2_1_2 	 77 	 41	 32	 70	 50	 85
0154u1_3_2 	 60 	 64	 50	 50	 78	 71
0213u1_2_1_2 	 77 	 41	 32	 70	 50	 85
0197u1_4_2 	 63 	 62	 53	 53	 72	 73
0003s1_3_1_1 	 21 	 40	 20	 3	 60	 40
0229u1_1_2 	 10 	 10	 10	 10	 10	 10
0197u1_4_2 	 62 	 62	 50	 50	 75	 75
0003s1_3_1_1 	 23 	 40	 20	 6	 60	 40
0229u1_1_2 	 22 	 15	 10	 20	 20	 25
0020p1_1_1_2 	 75 	 66	 63	 65	 75	 82
0009t1_3_1_2 	 62 	 62	 55	 55	 70	 70
0026t1_2_1 	 59 	 57	 27	 43	 88	 75
0006t1_2_1_1 	 60 	 61	 53	 50	 70	 70
0029p1_4_2 	 62 	 61	 49	 49	 74	 76
0020p1_1_1_2 	 72 	 70	 60	 60	 80	 85
0009t1_3_1_2 	 62 	 65	 55	 55	 75	 70
0026t1_2_1 	 60 	 54	 27	 46	 82	 75
0006t1_2_1_1 	 61 	 61	 47	 47	 75	 75
0029p1_4_2 	 62 	 61	 49	 49	 74	 76
0109u1_2_1_2 	 55 	 60	 40	 40	 80	 70
0154u1_4_2 	 63 	 58	 55	 57	 67	 70
0197u1_3_2 	 65 	 58	 40	 50	 77	 80
0027t1_1_1_1 	 66 	 61	 50	 54	 73	 79
0011p1_1_1_2 	 61 	 61	 48	 48	 75	 75
0005p1_4_1 	 75 	 77	 64	 55	 90	 95
0020p1_1_1_2 	 75 	 70	 60	 65	 80	 85
0006t1_2_1_1 	 62 	 61	 47	 50	 75	 75
0154u1_4_2 	 62 	 61	 52	 55	 70	 70
0197u1_3_2 	 67 	 60	 47	 55	 73	 80
0075p1_1_2 	 65 	 61	 43	 50	 80	 80
0059p1_3_2 	 60 	 60	 40	 40	 80	 80
0021t1_2_1 	 62 	 62	 50	 50	 75	 75
0076u1_1_2 	 61 	 60	 50	 50	 70	 73
0130u1_1_2 	 44 	 64	 54	 33	 75	 55
0021t1_2_1 	 65 	 62	 50	 56	 75	 75
0076u1_1_2 	 61 	 66	 50	 50	 82	 73
0130u1_1_2 	 41 	 61	 54	 33	 68	 50
0130u1_1_2 	 51 	 61	 54	 33	 68	 70
0059p1_1_2 	 62 	 65	 40	 40	 90	 85
0197u1_1_2 	 70 	 72	 60	 60	 85	 80
0197u1_1_2 	 72 	 72	 60	 65	 85	 80
0197u1_1_2 	 71 	 72	 60	 63	 85	 80
0003s1_1_1_1 	 65 	 65	 45	 45	 85	 85
0109u1_1_2_2 	 64 	 60	 55	 55	 70	 70
0109u1_2_3_2 	 61 	 62	 55	 55	 70	 68
0020p1_3_1_2 	 67 	 63	 42	 50	 85	 85
0045t1_1_1 	 60 	 62	 40	 29	 85	 92
0154u1_2_2 	 47 	 62	 55	 40	 70	 55
0109u1_4_2 	 61 	 58	 55	 55	 70	 70
0213u1_1_1_2 	 31 	 56	 45	 22	 67	 41
0029p1_2_2 	 46 	 61	 44	 28	 78	 64
0024p1_2_1 	 54 	 53	 37	 40	 69	 69
0028p1_3_1 	 67 	 70	 60	 60	 80	 75
0004p1_1_1 	 68 	 77	 70	 56	 85	 80
0095u1_1_2 	 84 	 95	 85	 75	 105	 93
0001p1_1_1_2 	 64 	 62	 45	 48	 80	 80
0061u1_2_2_2 	 59 	 97	 80	 42	 115	 77
0109u1_1_2_2 	 64 	 60	 56	 53	 72	 70
0109u1_2_3_2 	 62 	 62	 55	 57	 69	 67
0213u1_1_1_2 	 35 	 55	 40	 20	 70	 50
0213u1_1_1_2 	 35 	 57	 44	 20	 70	 50
0028p1_3_1 	 65 	 63	 53	 56	 74	 75
0028p1_3_1 	 65 	 66	 53	 56	 80	 75
0109u1_4_2 	 65 	 65	 55	 55	 75	 75
0109u1_4_2 	 62 	 62	 50	 50	 75	 75
0004p1_1_1 	 70 	 79	 68	 55	 91	 85
0095u1_1_2 	 85 	 96	 85	 75	 108	 95
0095u1_1_2 	 81 	 94	 85	 75	 104	 88
0095u1_1_2 	 85 	 96	 85	 75	 108	 95
0154u1_4_2 	 62 	 62	 55	 55	 70	 70
0154u1_4_2 	 62 	 62	 55	 55	 70	 70
0109u1_1_2_2 	 64 	 60	 56	 53	 72	 70
0109u1_2_3_2 	 62 	 62	 55	 57	 69	 67
0003s1_1_1_1 	 65 	 65	 45	 45	 85	 85
0020p1_1_1_2 	 75 	 70	 60	 65	 80	 85
0033p1_2_1 	 63 	 63	 55	 54	 72	 72
0033p1_2_1 	 63 	 63	 55	 54	 72	 72
0033p1_2_1 	 63 	 63	 55	 54	 72	 72
0014p1_4_1 	 57 	 61	 35	 37	 87	 77
0046t1_3_1 	 61 	 61	 52	 50	 71	 72
0121u1_1_2 	 41 	 57	 57	 35	 68	 47
0027t1_4_1_1 	 63 	 57	 39	 54	 76	 73
0213u1_3_2 	 46 	 40	 34	 35	 46	 57
0051p1_1_1 	 74 	 54	 37	 49	 72	 99
0007p1_3_1 	 38 	 57	 49	 31	 65	 46
0024t1_2_1 	 64 	 39	 32	 59	 46	 70
0134u1_2_2 	 62 	 63	 56	 53	 71	 72
0046t1_4_1 	 46 	 60	 49	 36	 72	 56
0042p1_3_1 	 61 	 70	 70	 60	 78	 68
0013p1_4_1 	 47 	 63	 43	 29	 83	 66
0043p1_2_2 	 42 	 60	 50	 29	 70	 55
0220u1_2_2 	 60 	 61	 46	 43	 77	 78
0041t1_1_1 	 61 	 65	 51	 45	 80	 77
0214u1_1_2_1 	 64 	 73	 47	 44	 99	 84
0169u1_3_2 	 50 	 30	 23	 45	 37	 56
0084u1_2_2 	 62 	 61	 53	 51	 70	 73
0032p1_4_1 	 37 	 72	 65	 30	 79	 45
0100u1_4_2 	 58 	 65	 46	 40	 84	 77
0034p1_2_2 	 25 	 60	 52	 17	 69	 33
0069p1_4_2 	 62 	 61	 48	 46	 74	 79
0031t1_4_1 	 65 	 63	 47	 50	 80	 81
0114u1_3_1_1 	 61 	 55	 32	 36	 79	 86
0214u1_2_1_1 	 61 	 63	 46	 47	 80	 75
0008p1_4_2_1 	 52 	 59	 48	 40	 70	 64
0003f1_2_1_2 	 65 	 62	 49	 51	 75	 79
0077p1_3_2 	 [79] 	 [39]	 25	 78	 40	 86
0077p1_3_2 	 [79] 	 [39]	 25	 76	 40	 85
0089u1_2_2 	 54 	 64	 58	 47	 70	 62
0042p1_1_1 	 72 	 67	 65	 66	 74	 78
0033p1_1_1 	 61 	 64	 54	 52	 75	 71
0216u1_4_2_2 	 20 	 54	 45	 7	 63	 33
0013p1_2_1 	 50 	 68	 40	 35	 96	 66
0027t1_4_2_2 	 63 	 62	 54	 54	 70	 72
0156u1_2_2 	 56 	 57	 57	 56	 67	 65
0206u1_1_2 	 32 	 85	 70	 15	 100	 50
0003f1_3_1_2 	 63 	 62	 45	 47	 80	 80
0032p1_2_1 	 65 	 63	 54	 57	 72	 73
0104u1_3_1_2 	 61 	 60	 57	 57	 70	 71
0006p1_3_1_2 	 57 	 57	 50	 50	 65	 65
0134u1_1_2 	 44 	 63	 55	 32	 71	 57
0069p1_2_2 	 30 	 62	 52	 21	 72	 40
0149u1_3_2_2 	 63 	 61	 56	 56	 67	 71
0080p1_1_2 	 62 	 62	 50	 50	 75	 75
0034p1_4_2 	 45 	 62	 54	 37	 70	 53
0030t1_1_1 	 63 	 59	 51	 56	 68	 71
0121u1_2_2 	 64 	 64	 57	 57	 71	 71
0016p1_2_1_1 	 51 	 39	 33	 46	 46	 57
0051p1_2_1 	 89 	 44	 24	 76	 64	 102
0213u1_1_2_2 	 70 	 92	 80	 55	 105	 85
0213u1_1_2_2 	 72 	 85	 85	 58	 103	 74
0003s1_1_1_1 	 65 	 65	 45	 45	 85	 85
0213u1_1_2_2 	 72 	 85	 85	 58	 103	 74
0020p1_1_1_2 	 75 	 70	 60	 65	 80	 85
0020p1_1_1_2 	 70 	 68	 68	 65	 80	 82
0154u1_4_2 	 62 	 61	 52	 55	 70	 70
0154u1_4_2 	 64 	 58	 52	 58	 64	 70
0109u1_1_2_2 	 64 	 60	 56	 53	 72	 70
0109u1_2_3_2 	 62 	 62	 55	 57	 69	 67
0048t1_3_1 	 69 	 109	 100	 58	 118	 80
0032t1_3_1 	 63 	 59	 50	 55	 68	 72
0032t1_3_1 	 63 	 59	 51	 57	 67	 70
0080u1_2_2 	 47 	 58	 53	 41	 64	 53
0032t1_3_1 	 63 	 61	 53	 57	 69	 70
0032t1_1_1 	 75 	 46	 35	 67	 58	 84
0006t1_3_1_1 	 60 	 63	 53	 53	 73	 67
0104u1_4_1_2 	 63 	 65	 55	 52	 75	 75
0032t1_1_1 	 75 	 49	 40	 70	 58	 80
0104u1_4_1_2 	 61 	 59	 52	 52	 66	 70
0104u1_4_1_2 	 62 	 57	 50	 55	 65	 70
0104u1_4_1_2 	 66 	 57	 57	 56	 67	 69
0072u1_2_1_2 	 65 	 58	 56	 55	 65	 70
0028p1_1_1 	 65 	 53	 42	 55	 64	 76
0072u1_2_1_2 	 65 	 58	 56	 56	 65	 70
0033t1_2_1 	 62 	 62	 55	 54	 70	 70
0033t1_2_1 	 63 	 56	 55	 59	 67	 67
0031p1_1_2 	 68 	 58	 40	 42	 77	 95
0031p1_1_2 	 67 	 58	 37	 40	 80	 95
0213u1_1_3_2 	 52 	 32	 20	 40	 45	 65
0213u1_1_3_2 	 55 	 32	 23	 50	 41	 61
0213u1_2_2_2 	 28 	 36	 30	 22	 42	 35
0076p1_1_2 	 62 	 60	 45	 52	 76	 73
0097u1_4_2 	 63 	 59	 55	 55	 65	 70
0213u1_2_2_2 	 29 	 36	 30	 24	 42	 35
0076p1_1_2 	 62 	 62	 51	 54	 74	 70
0206u1_4_2 	 63 	 62	 55	 52	 70	 74
0206u1_4_2 	 64 	 62	 55	 55	 70	 74
0220u1_1_2 	 61 	 62	 50	 52	 75	 71
0220u1_1_2 	 59 	 59	 44	 41	 75	 78
0024t1_4_1 	 49 	 64	 53	 40	 75	 58
0030t1_4_1 	 64 	 63	 52	 52	 75	 76
