#filename	 x_center	 y_center	 y1	 x1	 y2	 x2
0213u1_2_1_2 	 80 	 45	 34	 70	 57	 90
0213u1_2_1_2 	 76 	 42	 34	 70	 45	 80
0213u1_2_1_2 	 79 	 46	 30	 70	 62	 88
0154u1_3_2 	 70 	 67	 50	 50	 71	 71
0104u1_4_2_2 	 27 	 49	 4	 4	 95	 50
0104u1_4_2_2 	 29 	 52	 4	 4	 100	 55
0197u1_4_2 	 65 	 60	 40	 50	 80	 80
0197u1_4_2 	 65 	 60	 40	 50	 80	 80
0197u1_4_2 	 60 	 57	 35	 45	 80	 75
0003s1_3_1_1 	 21 	 40	 20	 3	 60	 40
0020p1_1_1_2 	 76 	 71	 20	 65	 75	 82
0009t1_3_1_2 	 63 	 62	 56	 56	 68	 70
0009t1_3_1_2 	 63 	 62	 58	 60	 68	 68
0026t1_2_1 	 55 	 57	 27	 35	 88	 75
0109u1_2_1_2 	 60 	 57	 40	 40	 74	 80
0109u1_2_1_2 	 55 	 57	 40	 40	 74	 70
0154u1_4_2 	 63 	 61	 54	 54	 70	 70
0197u1_3_2 	 66 	 61	 47	 52	 75	 80
0027t1_1_1_1 	 71 	 66	 50	 40	 73	 79
0011p1_1_1_2 	 64 	 60	 40	 48	 80	 80
0005p1_4_1 	 84 	 75	 64	 55	 87	 90
0005p1_4_1 	 75 	 77	 64	 55	 90	 95
0075p1_1_2 	 64 	 63	 50	 55	 76	 74
0021t1_2_1 	 68 	 66	 44	 47	 74	 78
0021t1_2_1 	 67 	 60	 40	 55	 80	 80
0076u1_1_2 	 61 	 66	 54	 50	 79	 73
0130u1_1_2 	 40 	 59	 47	 30	 72	 50
0130u1_1_2 	 44 	 64	 54	 33	 75	 55
